Time, ProductionCenter, WorkersCount, BufferCount
55.0, Производственный  центр №1, 2, 450
55.0, Производственный  центр №2, 1, 8
55.0, Производственный  центр №3, 0, 15
55.0, Производственный  центр №4, 0, 24
55.0, Производственный  центр №5, 0, 0
56.0, Производственный  центр №1, 2, 448
56.0, Производственный  центр №2, 1, 9
56.0, Производственный  центр №3, 0, 15
56.0, Производственный  центр №4, 0, 25
56.0, Производственный  центр №5, 0, 0
57.0, Производственный  центр №1, 2, 448
57.0, Производственный  центр №2, 1, 9
57.0, Производственный  центр №3, 0, 15
57.0, Производственный  центр №4, 0, 25
57.0, Производственный  центр №5, 0, 0
58.0, Производственный  центр №1, 2, 446
58.0, Производственный  центр №2, 1, 10
58.0, Производственный  центр №3, 0, 15
58.0, Производственный  центр №4, 0, 26
58.0, Производственный  центр №5, 0, 0
59.0, Производственный  центр №1, 2, 446
59.0, Производственный  центр №2, 1, 9
59.0, Производственный  центр №3, 0, 16
59.0, Производственный  центр №4, 0, 26
59.0, Производственный  центр №5, 0, 0
60.0, Производственный  центр №1, 2, 444
60.0, Производственный  центр №2, 1, 10
60.0, Производственный  центр №3, 0, 16
60.0, Производственный  центр №4, 0, 27
60.0, Производственный  центр №5, 0, 0
61.0, Производственный  центр №1, 2, 444
61.0, Производственный  центр №2, 1, 10
61.0, Производственный  центр №3, 0, 16
61.0, Производственный  центр №4, 0, 27
61.0, Производственный  центр №5, 0, 0
62.0, Производственный  центр №1, 2, 442
62.0, Производственный  центр №2, 1, 10
62.0, Производственный  центр №3, 0, 17
62.0, Производственный  центр №4, 0, 28
62.0, Производственный  центр №5, 0, 0
63.0, Производственный  центр №1, 2, 442
63.0, Производственный  центр №2, 1, 10
63.0, Производственный  центр №3, 0, 17
63.0, Производственный  центр №4, 0, 28
63.0, Производственный  центр №5, 0, 0
64.0, Производственный  центр №1, 2, 440
64.0, Производственный  центр №2, 1, 11
64.0, Производственный  центр №3, 0, 17
64.0, Производственный  центр №4, 0, 29
64.0, Производственный  центр №5, 0, 0
65.0, Производственный  центр №1, 2, 440
65.0, Производственный  центр №2, 1, 11
65.0, Производственный  центр №3, 0, 17
65.0, Производственный  центр №4, 0, 29
65.0, Производственный  центр №5, 0, 0
66.0, Производственный  центр №1, 2, 440
66.0, Производственный  центр №2, 1, 10
66.0, Производственный  центр №3, 0, 18
66.0, Производственный  центр №4, 0, 29
66.0, Производственный  центр №5, 0, 0
67.0, Производственный  центр №1, 2, 438
67.0, Производственный  центр №2, 1, 11
67.0, Производственный  центр №3, 0, 18
67.0, Производственный  центр №4, 0, 30
67.0, Производственный  центр №5, 0, 0
68.0, Производственный  центр №1, 2, 438
68.0, Производственный  центр №2, 1, 11
68.0, Производственный  центр №3, 0, 18
68.0, Производственный  центр №4, 0, 30
68.0, Производственный  центр №5, 0, 0
69.0, Производственный  центр №1, 2, 436
69.0, Производственный  центр №2, 1, 11
69.0, Производственный  центр №3, 0, 19
69.0, Производственный  центр №4, 0, 31
69.0, Производственный  центр №5, 0, 0
70.0, Производственный  центр №1, 2, 436
70.0, Производственный  центр №2, 1, 11
70.0, Производственный  центр №3, 0, 19
70.0, Производственный  центр №4, 0, 31
70.0, Производственный  центр №5, 0, 0
71.0, Производственный  центр №1, 2, 434
71.0, Производственный  центр №2, 1, 12
71.0, Производственный  центр №3, 0, 19
71.0, Производственный  центр №4, 0, 32
71.0, Производственный  центр №5, 0, 0
72.0, Производственный  центр №1, 2, 434
72.0, Производственный  центр №2, 1, 12
72.0, Производственный  центр №3, 0, 19
72.0, Производственный  центр №4, 0, 32
72.0, Производственный  центр №5, 0, 0
73.0, Производственный  центр №1, 2, 432
73.0, Производственный  центр №2, 1, 12
73.0, Производственный  центр №3, 0, 20
73.0, Производственный  центр №4, 0, 33
73.0, Производственный  центр №5, 0, 0
74.0, Производственный  центр №1, 2, 432
74.0, Производственный  центр №2, 1, 12
74.0, Производственный  центр №3, 0, 20
74.0, Производственный  центр №4, 0, 33
74.0, Производственный  центр №5, 0, 0
75.0, Производственный  центр №1, 2, 430
75.0, Производственный  центр №2, 1, 13
75.0, Производственный  центр №3, 0, 20
75.0, Производственный  центр №4, 0, 34
75.0, Производственный  центр №5, 0, 0
76.0, Производственный  центр №1, 2, 430
76.0, Производственный  центр №2, 1, 12
76.0, Производственный  центр №3, 0, 21
76.0, Производственный  центр №4, 0, 34
76.0, Производственный  центр №5, 0, 0
77.0, Производственный  центр №1, 2, 430
77.0, Производственный  центр №2, 1, 12
77.0, Производственный  центр №3, 0, 21
77.0, Производственный  центр №4, 0, 34
77.0, Производственный  центр №5, 0, 0
78.0, Производственный  центр №1, 2, 428
78.0, Производственный  центр №2, 1, 13
78.0, Производственный  центр №3, 0, 21
78.0, Производственный  центр №4, 0, 35
78.0, Производственный  центр №5, 0, 0
79.0, Производственный  центр №1, 2, 428
79.0, Производственный  центр №2, 1, 13
79.0, Производственный  центр №3, 0, 21
79.0, Производственный  центр №4, 0, 35
79.0, Производственный  центр №5, 0, 0
80.0, Производственный  центр №1, 2, 426
80.0, Производственный  центр №2, 1, 13
80.0, Производственный  центр №3, 0, 22
80.0, Производственный  центр №4, 0, 36
80.0, Производственный  центр №5, 0, 0
81.0, Производственный  центр №1, 2, 426
81.0, Производственный  центр №2, 1, 13
81.0, Производственный  центр №3, 0, 22
81.0, Производственный  центр №4, 0, 36
81.0, Производственный  центр №5, 0, 0
82.0, Производственный  центр №1, 2, 424
82.0, Производственный  центр №2, 1, 14
82.0, Производственный  центр №3, 0, 22
82.0, Производственный  центр №4, 0, 37
82.0, Производственный  центр №5, 0, 0
83.0, Производственный  центр №1, 2, 424
83.0, Производственный  центр №2, 1, 13
83.0, Производственный  центр №3, 0, 23
83.0, Производственный  центр №4, 0, 37
83.0, Производственный  центр №5, 0, 0
84.0, Производственный  центр №1, 2, 422
84.0, Производственный  центр №2, 1, 14
84.0, Производственный  центр №3, 0, 23
84.0, Производственный  центр №4, 0, 38
84.0, Производственный  центр №5, 0, 0
85.0, Производственный  центр №1, 2, 422
85.0, Производственный  центр №2, 1, 14
85.0, Производственный  центр №3, 0, 23
85.0, Производственный  центр №4, 0, 38
85.0, Производственный  центр №5, 0, 0
86.0, Производственный  центр №1, 2, 420
86.0, Производственный  центр №2, 1, 15
86.0, Производственный  центр №3, 0, 23
86.0, Производственный  центр №4, 0, 39
86.0, Производственный  центр №5, 0, 0
87.0, Производственный  центр №1, 2, 420
87.0, Производственный  центр №2, 1, 14
87.0, Производственный  центр №3, 0, 24
87.0, Производственный  центр №4, 0, 39
87.0, Производственный  центр №5, 0, 0
88.0, Производственный  центр №1, 2, 420
88.0, Производственный  центр №2, 1, 14
88.0, Производственный  центр №3, 0, 24
88.0, Производственный  центр №4, 0, 39
88.0, Производственный  центр №5, 0, 0
89.0, Производственный  центр №1, 2, 418
89.0, Производственный  центр №2, 1, 15
89.0, Производственный  центр №3, 0, 24
89.0, Производственный  центр №4, 0, 40
89.0, Производственный  центр №5, 0, 0
90.0, Производственный  центр №1, 2, 418
90.0, Производственный  центр №2, 1, 14
90.0, Производственный  центр №3, 0, 25
90.0, Производственный  центр №4, 0, 40
90.0, Производственный  центр №5, 0, 0
91.0, Производственный  центр №1, 2, 416
91.0, Производственный  центр №2, 1, 15
91.0, Производственный  центр №3, 0, 25
91.0, Производственный  центр №4, 0, 41
91.0, Производственный  центр №5, 0, 0
92.0, Производственный  центр №1, 2, 416
92.0, Производственный  центр №2, 1, 15
92.0, Производственный  центр №3, 0, 25
92.0, Производственный  центр №4, 0, 41
92.0, Производственный  центр №5, 0, 0
93.0, Производственный  центр №1, 2, 414
93.0, Производственный  центр №2, 1, 16
93.0, Производственный  центр №3, 0, 25
93.0, Производственный  центр №4, 0, 42
93.0, Производственный  центр №5, 0, 0
94.0, Производственный  центр №1, 2, 414
94.0, Производственный  центр №2, 1, 15
94.0, Производственный  центр №3, 0, 26
94.0, Производственный  центр №4, 0, 42
94.0, Производственный  центр №5, 0, 0
95.0, Производственный  центр №1, 2, 412
95.0, Производственный  центр №2, 1, 16
95.0, Производственный  центр №3, 0, 26
95.0, Производственный  центр №4, 0, 43
95.0, Производственный  центр №5, 0, 0
96.0, Производственный  центр №1, 2, 412
96.0, Производственный  центр №2, 1, 16
96.0, Производственный  центр №3, 0, 26
96.0, Производственный  центр №4, 0, 43
96.0, Производственный  центр №5, 0, 0
97.0, Производственный  центр №1, 2, 410
97.0, Производственный  центр №2, 1, 16
97.0, Производственный  центр №3, 0, 27
97.0, Производственный  центр №4, 0, 44
97.0, Производственный  центр №5, 0, 0
98.0, Производственный  центр №1, 2, 410
98.0, Производственный  центр №2, 1, 16
98.0, Производственный  центр №3, 0, 27
98.0, Производственный  центр №4, 0, 44
98.0, Производственный  центр №5, 0, 0
99.0, Производственный  центр №1, 2, 410
99.0, Производственный  центр №2, 1, 16
99.0, Производственный  центр №3, 0, 27
99.0, Производственный  центр №4, 0, 44
99.0, Производственный  центр №5, 0, 0
100.0, Производственный  центр №1, 2, 408
100.0, Производственный  центр №2, 1, 17
100.0, Производственный  центр №3, 0, 27
100.0, Производственный  центр №4, 0, 45
100.0, Производственный  центр №5, 0, 0
101.0, Производственный  центр №1, 2, 408
101.0, Производственный  центр №2, 1, 16
101.0, Производственный  центр №3, 0, 28
101.0, Производственный  центр №4, 0, 45
101.0, Производственный  центр №5, 0, 0
102.0, Производственный  центр №1, 2, 406
102.0, Производственный  центр №2, 1, 17
102.0, Производственный  центр №3, 0, 28
102.0, Производственный  центр №4, 0, 46
102.0, Производственный  центр №5, 0, 0
103.0, Производственный  центр №1, 2, 406
103.0, Производственный  центр №2, 1, 17
103.0, Производственный  центр №3, 0, 28
103.0, Производственный  центр №4, 0, 46
103.0, Производственный  центр №5, 0, 0
104.0, Производственный  центр №1, 2, 404
104.0, Производственный  центр №2, 1, 17
104.0, Производственный  центр №3, 0, 29
104.0, Производственный  центр №4, 0, 47
104.0, Производственный  центр №5, 0, 0
105.0, Производственный  центр №1, 2, 404
105.0, Производственный  центр №2, 1, 17
105.0, Производственный  центр №3, 0, 29
105.0, Производственный  центр №4, 0, 47
105.0, Производственный  центр №5, 0, 0
106.0, Производственный  центр №1, 2, 402
106.0, Производственный  центр №2, 1, 18
106.0, Производственный  центр №3, 0, 29
106.0, Производственный  центр №4, 0, 48
106.0, Производственный  центр №5, 0, 0
107.0, Производственный  центр №1, 2, 402
107.0, Производственный  центр №2, 1, 18
107.0, Производственный  центр №3, 0, 29
107.0, Производственный  центр №4, 0, 48
107.0, Производственный  центр №5, 0, 0
108.0, Производственный  центр №1, 2, 400
108.0, Производственный  центр №2, 1, 18
108.0, Производственный  центр №3, 0, 30
108.0, Производственный  центр №4, 0, 49
108.0, Производственный  центр №5, 0, 0
109.0, Производственный  центр №1, 2, 400
109.0, Производственный  центр №2, 1, 18
109.0, Производственный  центр №3, 0, 30
109.0, Производственный  центр №4, 0, 49
109.0, Производственный  центр №5, 0, 0
110.0, Производственный  центр №1, 2, 400
110.0, Производственный  центр №2, 1, 18
110.0, Производственный  центр №3, 0, 30
110.0, Производственный  центр №4, 0, 49
110.0, Производственный  центр №5, 0, 0
111.0, Производственный  центр №1, 2, 398
111.0, Производственный  центр №2, 1, 18
111.0, Производственный  центр №3, 0, 31
111.0, Производственный  центр №4, 0, 50
111.0, Производственный  центр №5, 0, 0
112.0, Производственный  центр №1, 2, 398
112.0, Производственный  центр №2, 1, 18
112.0, Производственный  центр №3, 0, 31
112.0, Производственный  центр №4, 0, 50
112.0, Производственный  центр №5, 0, 0
113.0, Производственный  центр №1, 2, 396
113.0, Производственный  центр №2, 1, 19
113.0, Производственный  центр №3, 0, 31
113.0, Производственный  центр №4, 0, 51
113.0, Производственный  центр №5, 0, 0
114.0, Производственный  центр №1, 2, 396
114.0, Производственный  центр №2, 1, 19
114.0, Производственный  центр №3, 0, 31
114.0, Производственный  центр №4, 0, 51
114.0, Производственный  центр №5, 0, 0
115.0, Производственный  центр №1, 2, 394
115.0, Производственный  центр №2, 1, 19
115.0, Производственный  центр №3, 0, 32
115.0, Производственный  центр №4, 0, 52
115.0, Производственный  центр №5, 0, 0
116.0, Производственный  центр №1, 2, 394
116.0, Производственный  центр №2, 1, 19
116.0, Производственный  центр №3, 0, 32
116.0, Производственный  центр №4, 0, 52
116.0, Производственный  центр №5, 0, 0
117.0, Производственный  центр №1, 2, 392
117.0, Производственный  центр №2, 1, 20
117.0, Производственный  центр №3, 0, 32
117.0, Производственный  центр №4, 0, 53
117.0, Производственный  центр №5, 0, 0
118.0, Производственный  центр №1, 2, 392
118.0, Производственный  центр №2, 1, 19
118.0, Производственный  центр №3, 0, 33
118.0, Производственный  центр №4, 0, 53
118.0, Производственный  центр №5, 0, 0
119.0, Производственный  центр №1, 2, 390
119.0, Производственный  центр №2, 1, 20
119.0, Производственный  центр №3, 0, 33
119.0, Производственный  центр №4, 0, 54
119.0, Производственный  центр №5, 0, 0
120.0, Производственный  центр №1, 2, 390
120.0, Производственный  центр №2, 1, 20
120.0, Производственный  центр №3, 0, 33
120.0, Производственный  центр №4, 0, 54
120.0, Производственный  центр №5, 0, 0
121.0, Производственный  центр №1, 2, 390
121.0, Производственный  центр №2, 1, 20
121.0, Производственный  центр №3, 0, 33
121.0, Производственный  центр №4, 0, 54
121.0, Производственный  центр №5, 0, 0
122.0, Производственный  центр №1, 2, 388
122.0, Производственный  центр №2, 1, 20
122.0, Производственный  центр №3, 0, 34
122.0, Производственный  центр №4, 0, 55
122.0, Производственный  центр №5, 0, 0
123.0, Производственный  центр №1, 2, 388
123.0, Производственный  центр №2, 1, 20
123.0, Производственный  центр №3, 0, 34
123.0, Производственный  центр №4, 0, 55
123.0, Производственный  центр №5, 0, 0
124.0, Производственный  центр №1, 2, 386
124.0, Производственный  центр №2, 1, 21
124.0, Производственный  центр №3, 0, 34
124.0, Производственный  центр №4, 0, 56
124.0, Производственный  центр №5, 0, 0
125.0, Производственный  центр №1, 2, 386
125.0, Производственный  центр №2, 1, 20
125.0, Производственный  центр №3, 0, 35
125.0, Производственный  центр №4, 0, 56
125.0, Производственный  центр №5, 0, 0
126.0, Производственный  центр №1, 2, 384
126.0, Производственный  центр №2, 1, 21
126.0, Производственный  центр №3, 0, 35
126.0, Производственный  центр №4, 0, 57
126.0, Производственный  центр №5, 0, 0
127.0, Производственный  центр №1, 2, 384
127.0, Производственный  центр №2, 1, 21
127.0, Производственный  центр №3, 0, 35
127.0, Производственный  центр №4, 0, 57
127.0, Производственный  центр №5, 0, 0
128.0, Производственный  центр №1, 2, 382
128.0, Производственный  центр №2, 1, 22
128.0, Производственный  центр №3, 0, 35
